"Date","Price","Open","High","Low","Vol.","Change %"
"10/03/2024","123.44","124.28","124.34","123.31","397.15K","-0.68%"
"10/02/2024","124.28","125.13","125.28","123.63","515.15K","-0.58%"
"10/01/2024","125.00","124.41","125.78","124.34","569.43K","0.65%"
"09/30/2024","124.19","124.81","124.88","124.13","605.27K","-0.55%"
"09/27/2024","124.88","124.22","125.00","124.03","433.44K","0.43%"
"09/26/2024","124.34","124.22","124.69","123.72","462.86K","0.05%"
"09/25/2024","124.28","125.06","125.19","124.09","378.91K","-0.60%"
"09/24/2024","125.03","124.94","125.19","123.91","470.95K","-0.07%"
"09/23/2024","125.13","125.03","125.31","124.25","424.09K","-0.10%"
"09/20/2024","125.25","125.50","125.72","124.81","425.39K","0.10%"
"09/19/2024","125.13","125.84","125.91","124.69","598.03K","-0.74%"
"09/18/2024","126.06","126.75","126.97","125.53","523.82K","-0.64%"
"09/17/2024","126.88","127.25","127.69","126.69","474.24K","-0.25%"
"09/16/2024","127.19","126.66","127.31","126.50","367.69K","0.37%"
"09/13/2024","126.72","126.50","127.09","126.28","365.67K","0.30%"
"09/12/2024","126.34","126.75","127.00","125.94","441.08K","-0.35%"
"09/11/2024","126.78","126.78","127.44","126.31","531.40K","-0.10%"
"09/10/2024","126.91","126.06","127.00","125.72","385.83K","0.59%"
"09/09/2024","126.16","125.69","126.28","125.09","336.87K","0.22%"
"09/06/2024","125.88","125.69","126.81","125.16","691.32K","0.17%"
"09/05/2024","125.66","125.25","125.81","125.03","421.51K","0.37%"
"09/04/2024","125.19","124.19","125.34","124.06","478.00K","0.83%"
"09/03/2024","124.16","122.94","124.66","122.53","615.20K","0.84%"
"08/30/2024","123.13","123.94","124.13","122.66","619.83K","-0.53%"
"08/29/2024","123.78","124.31","124.63","123.38","417.87K","-0.30%"
"08/28/2024","124.16","124.53","124.81","124.09","433.89K","-0.15%"
"08/27/2024","124.34","124.75","124.84","123.81","678.44K","-0.30%"
"08/26/2024","124.72","124.88","125.25","124.50","812.26K","-0.05%"
"08/23/2024","124.78","124.31","125.13","124.22","411.83K","0.45%"
"08/22/2024","124.22","125.16","125.31","123.97","421.65K","-1.07%"
"08/21/2024","125.56","125.16","125.72","124.75","69.32K","0.40%"
"08/20/2024","125.06","124.31","125.25","124.06","53.24K","0.55%"
"08/19/2024","124.38","123.91","124.56","123.66","24.06K","0.43%"
"08/16/2024","123.84","123.59","124.25","123.44","13.27K","0.33%"
"08/15/2024","123.44","124.53","124.69","122.84","11.88K","-1.05%"
"08/14/2024","124.75","124.22","124.97","123.97","15.53K","0.48%"
"08/13/2024","124.16","123.47","124.25","123.16","11.96K","0.56%"
"08/12/2024","123.47","123.09","123.59","122.69","2.86K","0.36%"
"08/09/2024","123.03","122.28","123.31","122.22","8.69K","0.74%"
"08/08/2024","122.13","122.75","123.50","121.72","4.69K","-0.36%"
"08/07/2024","122.56","123.97","123.97","122.44","5.22K","-1.01%"
"08/06/2024","123.81","125.47","125.47","123.56","3.48K","-1.37%"
"08/05/2024","125.53","125.28","126.94","124.81","3.81K","0.37%"
"08/03/2024","125.06","125.06","125.06","125.06","","-0.10%"
"08/02/2024","125.19","122.78","125.38","122.78","3.44K","2.06%"
"08/01/2024","122.66","121.78","122.91","121.47","1.02K","1.45%"
"07/31/2024","120.91","120.34","121.91","120.22","0.86K","0.52%"
"07/30/2024","120.28","119.78","120.44","119.63","0.57K","0.44%"
"07/29/2024","119.75","119.63","120.22","119.56","0.21K","0.31%"
"07/27/2024","119.38","119.38","119.38","119.38","","-0.05%"
"07/26/2024","119.44","118.78","119.63","118.59","0.09K","0.61%"
"07/25/2024","118.72","118.22","119.31","118.22","0.33K","0.50%"
"07/24/2024","118.13","118.88","119.34","118.09","0.76K","-0.84%"
"07/23/2024","119.13","119.00","119.41","118.94","0.10K","0.21%"
"07/22/2024","118.88","119.50","119.75","118.63","0.53K","-0.24%"
"07/20/2024","119.16","119.16","119.16","119.16","","-0.05%"
"07/19/2024","119.22","119.88","119.91","119.06","0.26K","-0.57%"
"07/18/2024","119.91","120.34","120.34","119.72","0.41K","-0.60%"
"07/17/2024","120.63","120.38","120.63","120.03","0.64K","0.21%"
"07/16/2024","120.38","119.56","120.41","119.47","0.73K","0.94%"
"07/15/2024","119.25","119.31","119.47","118.81","0.67K","-0.55%"
"07/13/2024","119.91","119.91","119.91","119.91","","-0.10%"
"07/12/2024","120.03","119.69","120.09","119.31","0.11K","0.10%"
"07/11/2024","119.91","118.78","120.34","118.63","0.57K","0.92%"
"07/10/2024","118.81","118.50","119.03","118.50","0.12K","0.26%"
"07/09/2024","118.50","118.72","118.81","118.19","0.60K","-0.50%"
"07/08/2024","119.09","118.59","119.00","118.38","1.20K","0.16%"
"07/05/2024","118.91","117.59","118.97","117.59","0.06K","1.12%"
"07/04/2024","117.59","117.69","117.78","117.47","46.21K","-0.42%"
"07/03/2024","118.09","116.94","118.16","116.81","0.08K","1.15%"
"07/02/2024","116.75","116.59","117.03","116.50","0.28K","0.48%"
"07/01/2024","116.19","117.50","117.50","116.03","0.12K","-1.09%"
"06/29/2024","117.47","117.47","117.47","117.47","","-0.82%"
"06/28/2024","118.44","119.25","119.78","117.75","0.26K","-0.84%"
"06/27/2024","119.44","118.59","119.50","118.59","0.02K","0.31%"
"06/26/2024","119.06","119.78","119.78","118.97","0.10K","-1.01%"
"06/25/2024","120.28","120.41","120.59","120.09","0.06K","0.13%"
"06/24/2024","120.13","120.09","120.19","119.78","0.02K","0.29%"
"06/22/2024","119.78","119.78","119.78","119.78","","-0.16%"
"06/21/2024","119.97","120.38","120.38","119.66","0.04K","-0.03%"
"06/20/2024","120.00","120.47","120.63","119.47","0.11K","-0.21%"
"06/19/2024","120.25","120.34","120.56","120.19","66.02K","-0.21%"
"06/18/2024","120.50","119.78","120.47","119.59","0.01K","0.71%"
"06/17/2024","119.66","120.16","120.31","119.38","0.02K","-0.73%"
"06/14/2024","120.53","120.00","120.69","119.75","0.09K","0.50%"
"06/13/2024","119.94","118.78","120.19","118.78","0.04K","0.58%"
"06/12/2024","119.25","118.00","119.72","118.00","0.03K","1.22%"
"06/11/2024","117.81","117.19","117.47","117.13","0.03K","0.69%"
"06/10/2024","117.00","117.50","117.50","116.88","0.05K","-0.53%"
"06/07/2024","117.63","119.31","119.31","117.59","0.10K","-1.70%"
"06/06/2024","119.66","119.34","119.59","119.03","0.06K","0.16%"
"06/05/2024","119.47","118.88","119.41","118.69","0.01K","0.55%"
"06/04/2024","118.81","118.41","118.91","118.31","0.02K","0.80%"
"06/03/2024","117.88","116.75","117.69","116.75","0.02K","1.34%"
"05/31/2024","116.31","116.13","116.63","116.13","0.01K","0.57%"
"05/30/2024","115.66","115.50","116.13","115.50","0.05K","0.79%"
"05/29/2024","114.75","115.84","115.84","114.69","0.02K","-0.94%"
"05/28/2024","115.84","117.19","117.19","115.97","0.01K","-0.94%"
"05/27/2024","116.94","117.16","117.16","116.72","110.47K","-0.16%"
"05/26/2024","117.13","117.00","117.13","117.00","9.35K","0.19%"
"05/24/2024","116.91","117.16","117.16","116.97","0.00K","0.00%"
"05/23/2024","116.91","117.00","117.00","117.00","0.00K","-0.37%"
"05/22/2024","117.34","117.34","117.53","116.75","512.13K","-0.05%"
"05/21/2024","117.41","116.97","117.59","116.84","362.33K","0.24%"
"05/20/2024","117.13","117.72","117.72","116.84","0.02K","-0.16%"
"05/18/2024","117.31","117.31","117.31","117.31","","-0.05%"
"05/17/2024","117.38","117.97","117.97","117.59","0.01K","-0.50%"
"05/16/2024","117.97","118.47","118.47","118.47","0.00K","-0.19%"
"05/15/2024","118.19","117.50","118.47","117.50","0.01K","1.12%"
"05/14/2024","116.88","116.28","116.88","115.66","380.61K","0.35%"
"05/13/2024","116.47","116.12","116.69","116.12","0.00K","0.30%"
"05/11/2024","116.13","116.13","116.13","116.13","","0.00%"
"05/10/2024","116.13","116.50","116.50","115.88","0.00K","-0.62%"
"05/09/2024","116.84","116.00","116.88","116.00","0.01K","0.35%"
"05/08/2024","116.44","116.34","116.34","116.34","0.00K","-0.29%"
"05/07/2024","116.78","116.25","117.22","116.12","458.63K","0.43%"
"05/06/2024","116.28","116.00","116.00","116.00","0.00K","0.40%"
"05/04/2024","115.81","115.81","115.81","115.81","","-0.16%"
"05/03/2024","116.00","116.00","116.00","116.00","0.00K","0.73%"
"05/02/2024","115.16","114.56","115.16","114.06","448.31K","0.08%"
"05/01/2024","115.06","114.50","114.50","114.50","0.01K","1.07%"
"04/30/2024","113.84","114.59","114.78","113.75","539.74K","-0.68%"
"04/29/2024","114.63","114.44","114.44","114.44","0.00K","0.58%"
"04/27/2024","113.97","113.97","113.97","113.97","","0.08%"
"04/26/2024","113.88","113.34","114.31","113.19","358.74K","0.50%"
"04/25/2024","113.31","114.06","114.34","112.84","444.46K","-0.52%"
"04/24/2024","113.91","114.81","114.81","113.81","0.00K","-0.74%"
"04/23/2024","114.75","114.62","115.16","114.06","405.84K","0.14%"
"04/22/2024","114.59","114.38","114.69","113.97","330.28K","0.03%"
